18,9
19,9
20,9
21,9
22,8
23,8
24,8
25,8
26,7
27,6
28,5
29,5
30,5
31,5
32,5
33,4
34,3
35,3
36,3
37,2
38,2
39,2
40,2
41,3
42,3
43,3
44,3
45,3
46,2
47,1
48,2
49,3
50,4
51,3
52,2
53,2
54,3
55,3
56,4
57,5
58,6
59,5
60,5
61,5
62,4
63,3
64,2
64,1
65,0
66,1
67,1
68,1
69,2
70,2
71,2
72,2
73,3
74,2
75,2
76,3
77,3
78,4
79,3
80,2
81,3
81,4
82,5
83,6
84,5
85,5
86,5
87,6
88,6
89,7
90,8
91,8
92,7
91,6
92,5
93,4
94,4
95,4
96,3
97,3
98,3
99,3
100,4
101,4
102,4
103,5
104,6
105,6
106,7
107,6
108,6
109,7
110,7
111,8
112,9
113,9
114,8
115,8
116,7
117,7
118,6
119,5
120,5
121,5
122,4
123,3
124,2
125,1
126,1
127,1
128,2
129,3
130,4
131,5
132,6
133,7
134,8
135,9
136,10
137,9
138,9
139,8
140,8
141,8
142,8
143,9
144,9
145,8
145,7
146,6
147,6
148,6
149,5
150,4
151,4
152,4
153,5
154,6
154,7
155,8
155,9
